item_id,dim_code,n_passes,mode,mean,min,max
scev_val_fig_0006,MCu,1,1,1,1,1
scev_val_fig_0006,QLl,1,1,1,1,1
scev_val_fig_0006,QLq,1,1,1,1,1
scev_val_fig_0006,VL,1,2,2,2,2
scev_val_fig_0006,VO,1,1,1,1,1
scev_val_fig_0007,AS,1,3,3,3,3
scev_val_fig_0007,AT,1,3,3,3,3
scev_val_fig_0007,CL,1,0,0,0,0
scev_val_fig_0007,GS,1,1,1,1,1
scev_val_fig_0007,KNf,1,3,3,3,3
scev_val_fig_0007,MA,1,1,1,1,1
scev_val_fig_0007,MCr,1,2,2,2,2
scev_val_fig_0007,MCu,1,2,2,2,2
scev_val_fig_0007,QLl,1,1,1,1,1
scev_val_fig_0007,QLq,1,2,2,2,2
scev_val_fig_0007,VL,1,2,2,2,2
scev_val_fig_0007,VO,1,2,2,2,2
scev_val_fig_0008,AS,1,3,3,3,3
scev_val_fig_0008,AT,1,4,4,4,4
scev_val_fig_0008,CL,1,0,0,0,0
scev_val_fig_0008,GS,1,3,3,3,3
scev_val_fig_0008,KNf,1,1,1,1,1
scev_val_fig_0008,MA,1,1,1,1,1
scev_val_fig_0008,MCr,1,3,3,3,3
scev_val_fig_0008,MCu,1,3,3,3,3
scev_val_fig_0008,QLl,1,1,1,1,1
scev_val_fig_0008,QLq,1,2,2,2,2
scev_val_fig_0008,VL,1,2,2,2,2
scev_val_fig_0008,VO,1,1,1,1,1
scev_val_fig_0010,AS,1,3,3,3,3
scev_val_fig_0010,AT,1,3,3,3,3
scev_val_fig_0010,CL,1,1,1,1,1
scev_val_fig_0010,GS,1,5,5,5,5
scev_val_fig_0010,KNf,1,4,4,4,4
scev_val_fig_0010,MA,1,3,3,3,3
scev_val_fig_0010,MCr,1,2,2,2,2
scev_val_fig_0010,MCu,1,3,3,3,3
scev_val_fig_0010,QLl,1,1,1,1,1
scev_val_fig_0010,QLq,1,2,2,2,2
scev_val_fig_0010,VL,1,2,2,2,2
scev_val_fig_0010,VO,1,2,2,2,2
scev_val_fig_0011,AS,1,2,2,2,2
scev_val_fig_0011,AT,1,3,3,3,3
scev_val_fig_0011,CL,1,0,0,0,0
scev_val_fig_0011,GS,1,0,0,0,0
scev_val_fig_0011,KNf,1,1,1,1,1
scev_val_fig_0011,MA,1,1,1,1,1
scev_val_fig_0011,MCr,1,2,2,2,2
scev_val_fig_0011,MCu,1,2,2,2,2
scev_val_fig_0011,QLl,1,1,1,1,1
scev_val_fig_0011,QLq,1,2,2,2,2
scev_val_fig_0011,VL,1,4,4,4,4
scev_val_fig_0011,VO,1,1,1,1,1
scev_val_fig_0014,AS,1,3,3,3,3
scev_val_fig_0014,AT,1,3,3,3,3
scev_val_fig_0014,CL,1,0,0,0,0
scev_val_fig_0014,GS,1,2,2,2,2
scev_val_fig_0014,KNf,1,2,2,2,2
scev_val_fig_0014,MA,1,1,1,1,1
scev_val_fig_0014,MCr,1,2,2,2,2
scev_val_fig_0014,MCu,1,2,2,2,2
scev_val_fig_0014,QLl,1,1,1,1,1
scev_val_fig_0014,QLq,1,2,2,2,2
scev_val_fig_0014,VL,1,2,2,2,2
scev_val_fig_0014,VO,1,2,2,2,2
scev_val_fig_0015,AS,1,3,3,3,3
scev_val_fig_0015,AT,1,3,3,3,3
scev_val_fig_0015,CL,1,1,1,1,1
scev_val_fig_0015,GS,1,3,3,3,3
scev_val_fig_0015,KNf,1,2,2,2,2
scev_val_fig_0015,MA,1,2,2,2,2
scev_val_fig_0015,MCr,1,1,1,1,1
scev_val_fig_0015,MCu,1,2,2,2,2
scev_val_fig_0015,QLl,1,2,2,2,2
scev_val_fig_0015,QLq,1,2,2,2,2
scev_val_fig_0015,VL,1,2,2,2,2
scev_val_fig_0015,VO,1,1,1,1,1
scev_val_fig_0016,AS,1,2,2,2,2
scev_val_fig_0016,AT,1,3,3,3,3
scev_val_fig_0016,CL,1,0,0,0,0
scev_val_fig_0016,GS,1,4,4,4,4
scev_val_fig_0016,KNf,1,2,2,2,2
scev_val_fig_0016,MA,1,1,1,1,1
scev_val_fig_0016,MCr,1,1,1,1,1
scev_val_fig_0016,MCu,1,1,1,1,1
scev_val_fig_0016,QLl,1,1,1,1,1
scev_val_fig_0016,QLq,1,2,2,2,2
scev_val_fig_0016,VL,1,2,2,2,2
scev_val_fig_0016,VO,1,1,1,1,1
scev_val_fig_0017,AS,1,1,1,1,1
scev_val_fig_0017,AT,1,3,3,3,3
scev_val_fig_0017,CL,1,0,0,0,0
scev_val_fig_0017,GS,1,2,2,2,2
scev_val_fig_0017,KNf,1,3,3,3,3
scev_val_fig_0017,MA,1,1,1,1,1
scev_val_fig_0017,MCr,1,2,2,2,2
scev_val_fig_0017,MCu,1,2,2,2,2
scev_val_fig_0017,QLl,1,2,2,2,2
scev_val_fig_0017,QLq,1,2,2,2,2
scev_val_fig_0017,VL,1,2,2,2,2
scev_val_fig_0017,VO,1,2,2,2,2
scev_val_fig_0018,AS,1,3,3,3,3
scev_val_fig_0018,AT,1,3,3,3,3
scev_val_fig_0018,CL,1,0,0,0,0
scev_val_fig_0018,GS,1,0,0,0,0
scev_val_fig_0018,KNf,1,2,2,2,2
scev_val_fig_0018,MA,1,4,4,4,4
scev_val_fig_0018,MCr,1,3,3,3,3
scev_val_fig_0018,MCu,1,3,3,3,3
scev_val_fig_0018,QLl,1,4,4,4,4
scev_val_fig_0018,QLq,1,3,3,3,3
scev_val_fig_0018,VL,1,2,2,2,2
scev_val_fig_0018,VO,1,2,2,2,2
scev_val_fig_0019,AS,1,3,3,3,3
scev_val_fig_0019,AT,1,3,3,3,3
scev_val_fig_0019,CL,1,1,1,1,1
scev_val_fig_0019,GS,1,2,2,2,2
scev_val_fig_0019,KNf,1,1,1,1,1
scev_val_fig_0019,MA,1,5,5,5,5
scev_val_fig_0019,MCr,1,3,3,3,3
scev_val_fig_0019,MCu,1,3,3,3,3
scev_val_fig_0019,QLl,1,3,3,3,3
scev_val_fig_0019,QLq,1,3,3,3,3
scev_val_fig_0019,VL,1,2,2,2,2
scev_val_fig_0019,VO,1,2,2,2,2
scev_val_fig_0020,AS,1,2,2,2,2
scev_val_fig_0020,AT,1,3,3,3,3
scev_val_fig_0020,CL,1,0,0,0,0
scev_val_fig_0020,GS,1,2,2,2,2
scev_val_fig_0020,KNf,1,1,1,1,1
scev_val_fig_0020,MA,1,2,2,2,2
scev_val_fig_0020,MCr,1,2,2,2,2
scev_val_fig_0020,MCu,1,0,0,0,0
scev_val_fig_0020,QLl,1,1,1,1,1
scev_val_fig_0020,QLq,1,2,2,2,2
scev_val_fig_0020,VL,1,2,2,2,2
scev_val_fig_0020,VO,1,1,1,1,1
scev_val_fig_0021,AS,1,2,2,2,2
scev_val_fig_0021,AT,1,3,3,3,3
scev_val_fig_0021,CL,1,0,0,0,0
scev_val_fig_0021,GS,1,2,2,2,2
scev_val_fig_0021,KNf,1,2,2,2,2
scev_val_fig_0021,MA,1,2,2,2,2
scev_val_fig_0021,MCr,1,2,2,2,2
scev_val_fig_0021,MCu,1,1,1,1,1
scev_val_fig_0021,QLl,1,1,1,1,1
scev_val_fig_0021,QLq,1,2,2,2,2
scev_val_fig_0021,VL,1,2,2,2,2
scev_val_fig_0021,VO,1,1,1,1,1
scev_val_fig_0029,AS,1,2,2,2,2
scev_val_fig_0029,AT,1,3,3,3,3
scev_val_fig_0029,CL,1,0,0,0,0
scev_val_fig_0029,GS,1,5,5,5,5
scev_val_fig_0029,KNf,1,1,1,1,1
scev_val_fig_0029,MA,1,3,3,3,3
scev_val_fig_0029,MCr,1,1,1,1,1
scev_val_fig_0029,MCu,1,1,1,1,1
scev_val_fig_0029,QLl,1,2,2,2,2
scev_val_fig_0029,QLq,1,2,2,2,2
scev_val_fig_0029,VL,1,1,1,1,1
scev_val_fig_0029,VO,1,1,1,1,1
scev_val_fig_0032,AS,1,2,2,2,2
scev_val_fig_0032,AT,1,3,3,3,3
scev_val_fig_0032,CL,1,1,1,1,1
scev_val_fig_0032,GS,1,2,2,2,2
scev_val_fig_0032,KNf,1,2,2,2,2
scev_val_fig_0032,MA,1,3,3,3,3
scev_val_fig_0032,MCr,1,3,3,3,3
scev_val_fig_0032,MCu,1,2,2,2,2
scev_val_fig_0032,QLl,1,1,1,1,1
scev_val_fig_0032,QLq,1,2,2,2,2
scev_val_fig_0032,VL,1,4,4,4,4
scev_val_fig_0032,VO,1,1,1,1,1
scev_val_fig_0033,AS,1,1,1,1,1
scev_val_fig_0033,AT,1,3,3,3,3
scev_val_fig_0033,CL,1,0,0,0,0
scev_val_fig_0033,GS,1,1,1,1,1
scev_val_fig_0033,KNf,1,4,4,4,4
scev_val_fig_0033,MA,1,2,2,2,2
scev_val_fig_0033,MCr,1,1,1,1,1
scev_val_fig_0033,MCu,1,1,1,1,1
scev_val_fig_0033,QLl,1,1,1,1,1
scev_val_fig_0033,QLq,1,1,1,1,1
scev_val_fig_0033,VL,1,2,2,2,2
scev_val_fig_0033,VO,1,1,1,1,1
scev_val_fig_0035,AS,1,2,2,2,2
scev_val_fig_0035,AT,1,3,3,3,3
scev_val_fig_0035,CL,1,0,0,0,0
scev_val_fig_0035,GS,1,0,0,0,0
scev_val_fig_0035,KNf,1,1,1,1,1
scev_val_fig_0035,MA,1,3,3,3,3
scev_val_fig_0035,MCr,1,2,2,2,2
scev_val_fig_0035,MCu,1,2,2,2,2
scev_val_fig_0035,QLl,1,2,2,2,2
scev_val_fig_0035,QLq,1,2,2,2,2
scev_val_fig_0035,VL,1,2,2,2,2
scev_val_fig_0035,VO,1,2,2,2,2
scev_val_fig_0036,AS,1,2,2,2,2
scev_val_fig_0036,AT,1,3,3,3,3
scev_val_fig_0036,CL,1,0,0,0,0
scev_val_fig_0036,GS,1,0,0,0,0
scev_val_fig_0036,KNf,1,1,1,1,1
scev_val_fig_0036,MA,1,2,2,2,2
scev_val_fig_0036,MCr,1,1,1,1,1
scev_val_fig_0036,MCu,1,1,1,1,1
scev_val_fig_0036,QLl,1,1,1,1,1
scev_val_fig_0036,QLq,1,1,1,1,1
scev_val_fig_0036,VL,1,2,2,2,2
scev_val_fig_0036,VO,1,2,2,2,2
scev_val_fig_0042,AS,1,2,2,2,2
scev_val_fig_0042,AT,1,3,3,3,3
scev_val_fig_0042,CL,1,0,0,0,0
scev_val_fig_0042,GS,1,0,0,0,0
scev_val_fig_0042,KNf,1,1,1,1,1
scev_val_fig_0042,MA,1,1,1,1,1
scev_val_fig_0042,MCr,1,2,2,2,2
scev_val_fig_0042,MCu,1,2,2,2,2
scev_val_fig_0042,QLl,1,1,1,1,1
scev_val_fig_0042,QLq,1,2,2,2,2
scev_val_fig_0042,VL,1,2,2,2,2
scev_val_fig_0042,VO,1,1,1,1,1
scev_val_fig_0043,AS,1,3,3,3,3
scev_val_fig_0043,AT,1,3,3,3,3
scev_val_fig_0043,CL,1,0,0,0,0
scev_val_fig_0043,GS,1,0,0,0,0
scev_val_fig_0043,KNf,1,1,1,1,1
scev_val_fig_0043,MA,1,1,1,1,1
scev_val_fig_0043,MCr,1,2,2,2,2
scev_val_fig_0043,MCu,1,3,3,3,3
scev_val_fig_0043,QLl,1,1,1,1,1
scev_val_fig_0043,QLq,1,2,2,2,2
scev_val_fig_0043,VL,1,2,2,2,2
scev_val_fig_0043,VO,1,1,1,1,1
scev_val_fig_0045,AS,1,2,2,2,2
scev_val_fig_0045,AT,1,3,3,3,3
scev_val_fig_0045,CL,1,1,1,1,1
scev_val_fig_0045,GS,1,0,0,0,0
scev_val_fig_0045,KNf,1,1,1,1,1
scev_val_fig_0045,MA,1,1,1,1,1
scev_val_fig_0045,MCr,1,2,2,2,2
scev_val_fig_0045,MCu,1,1,1,1,1
scev_val_fig_0045,QLl,1,1,1,1,1
scev_val_fig_0045,QLq,1,2,2,2,2
scev_val_fig_0045,VL,1,2,2,2,2
scev_val_fig_0045,VO,1,1,1,1,1
scev_val_fig_0046,AS,1,2,2,2,2
scev_val_fig_0046,AT,1,3,3,3,3
scev_val_fig_0046,CL,1,0,0,0,0
scev_val_fig_0046,GS,1,0,0,0,0
scev_val_fig_0046,KNf,1,1,1,1,1
scev_val_fig_0046,MA,1,1,1,1,1
scev_val_fig_0046,MCr,1,2,2,2,2
scev_val_fig_0046,MCu,1,2,2,2,2
scev_val_fig_0046,QLl,1,1,1,1,1
scev_val_fig_0046,QLq,1,2,2,2,2
scev_val_fig_0046,VL,1,2,2,2,2
scev_val_fig_0046,VO,1,1,1,1,1
scev_val_fig_0047,AS,1,3,3,3,3
scev_val_fig_0047,AT,1,3,3,3,3
scev_val_fig_0047,CL,1,0,0,0,0
scev_val_fig_0047,GS,1,2,2,2,2
scev_val_fig_0047,KNf,1,1,1,1,1
scev_val_fig_0047,MA,1,2,2,2,2
scev_val_fig_0047,MCr,1,2,2,2,2
scev_val_fig_0047,MCu,1,2,2,2,2
scev_val_fig_0047,QLl,1,2,2,2,2
scev_val_fig_0047,QLq,1,2,2,2,2
scev_val_fig_0047,VL,1,2,2,2,2
scev_val_fig_0047,VO,1,1,1,1,1
scev_val_fig_0048,AS,1,3,3,3,3
scev_val_fig_0048,AT,1,3,3,3,3
scev_val_fig_0048,CL,1,0,0,0,0
scev_val_fig_0048,GS,1,0,0,0,0
scev_val_fig_0048,KNf,1,0,0,0,0
scev_val_fig_0048,MA,1,3,3,3,3
scev_val_fig_0048,MCr,1,2,2,2,2
scev_val_fig_0048,MCu,1,2,2,2,2
scev_val_fig_0048,QLl,1,2,2,2,2
scev_val_fig_0048,QLq,1,2,2,2,2
scev_val_fig_0048,VL,1,2,2,2,2
scev_val_fig_0048,VO,1,1,1,1,1
scev_val_fig_0049,AS,1,3,3,3,3
scev_val_fig_0049,AT,1,3,3,3,3
scev_val_fig_0049,CL,1,1,1,1,1
scev_val_fig_0049,GS,1,2,2,2,2
scev_val_fig_0049,KNf,1,1,1,1,1
scev_val_fig_0049,MA,1,3,3,3,3
scev_val_fig_0049,MCr,1,2,2,2,2
scev_val_fig_0049,MCu,1,3,3,3,3
scev_val_fig_0049,QLl,1,2,2,2,2
scev_val_fig_0049,QLq,1,3,3,3,3
scev_val_fig_0049,VL,1,2,2,2,2
scev_val_fig_0049,VO,1,2,2,2,2
scev_val_fig_0050,AS,1,3,3,3,3
scev_val_fig_0050,AT,1,3,3,3,3
scev_val_fig_0050,CL,1,0,0,0,0
scev_val_fig_0050,GS,1,2,2,2,2
scev_val_fig_0050,KNf,1,2,2,2,2
scev_val_fig_0050,MA,1,3,3,3,3
scev_val_fig_0050,MCr,1,2,2,2,2
scev_val_fig_0050,MCu,1,3,3,3,3
scev_val_fig_0050,QLl,1,2,2,2,2
scev_val_fig_0050,QLq,1,2,2,2,2
scev_val_fig_0050,VL,1,2,2,2,2
scev_val_fig_0050,VO,1,2,2,2,2
scev_val_fig_0051,AS,1,3,3,3,3
scev_val_fig_0051,AT,1,3,3,3,3
scev_val_fig_0051,CL,1,1,1,1,1
scev_val_fig_0051,GS,1,2,2,2,2
scev_val_fig_0051,KNf,1,1,1,1,1
scev_val_fig_0051,MA,1,3,3,3,3
scev_val_fig_0051,MCr,1,2,2,2,2
scev_val_fig_0051,MCu,1,3,3,3,3
scev_val_fig_0051,QLl,1,2,2,2,2
scev_val_fig_0051,QLq,1,2,2,2,2
scev_val_fig_0051,VL,1,2,2,2,2
scev_val_fig_0051,VO,1,1,1,1,1
scev_val_fig_0052,AS,1,3,3,3,3
scev_val_fig_0052,AT,1,3,3,3,3
scev_val_fig_0052,CL,1,1,1,1,1
scev_val_fig_0052,GS,1,0,0,0,0
scev_val_fig_0052,KNf,1,1,1,1,1
scev_val_fig_0052,MA,1,1,1,1,1
scev_val_fig_0052,MCr,1,2,2,2,2
scev_val_fig_0052,MCu,1,2,2,2,2
scev_val_fig_0052,QLl,1,1,1,1,1
scev_val_fig_0052,QLq,1,1,1,1,1
scev_val_fig_0052,VL,1,2,2,2,2
scev_val_fig_0052,VO,1,1,1,1,1
scev_val_fig_0053,AS,1,3,3,3,3
scev_val_fig_0053,AT,1,3,3,3,3
scev_val_fig_0053,CL,1,1,1,1,1
scev_val_fig_0053,GS,1,2,2,2,2
scev_val_fig_0053,KNf,1,0,0,0,0
scev_val_fig_0053,MA,1,2,2,2,2
scev_val_fig_0053,MCr,1,1,1,1,1
scev_val_fig_0053,MCu,1,1,1,1,1
scev_val_fig_0053,QLl,1,1,1,1,1
scev_val_fig_0053,QLq,1,1,1,1,1
scev_val_fig_0053,VL,1,2,2,2,2
scev_val_fig_0053,VO,1,1,1,1,1
scev_val_fig_0054,AS,1,3,3,3,3
scev_val_fig_0054,AT,1,3,3,3,3
scev_val_fig_0054,CL,1,1,1,1,1
scev_val_fig_0054,GS,1,2,2,2,2
scev_val_fig_0054,KNf,1,1,1,1,1
scev_val_fig_0054,MA,1,2,2,2,2
scev_val_fig_0054,MCr,1,3,3,3,3
scev_val_fig_0054,MCu,1,1,1,1,1
scev_val_fig_0054,QLl,1,1,1,1,1
scev_val_fig_0054,QLq,1,2,2,2,2
scev_val_fig_0054,VL,1,2,2,2,2
scev_val_fig_0054,VO,1,1,1,1,1
scev_val_fig_0056,AS,1,2,2,2,2
scev_val_fig_0056,AT,1,3,3,3,3
scev_val_fig_0056,CL,1,1,1,1,1
scev_val_fig_0056,GS,1,3,3,3,3
scev_val_fig_0056,KNf,1,1,1,1,1
scev_val_fig_0056,MA,1,2,2,2,2
scev_val_fig_0056,MCr,1,1,1,1,1
scev_val_fig_0056,MCu,1,2,2,2,2
scev_val_fig_0056,QLl,1,1,1,1,1
scev_val_fig_0056,QLq,1,2,2,2,2
scev_val_fig_0056,VL,1,2,2,2,2
scev_val_fig_0056,VO,1,1,1,1,1
scev_val_fig_0057,AS,1,3,3,3,3
scev_val_fig_0057,AT,1,3,3,3,3
scev_val_fig_0057,CL,1,0,0,0,0
scev_val_fig_0057,GS,1,0,0,0,0
scev_val_fig_0057,KNf,1,1,1,1,1
scev_val_fig_0057,MA,1,2,2,2,2
scev_val_fig_0057,MCr,1,2,2,2,2
scev_val_fig_0057,MCu,1,2,2,2,2
scev_val_fig_0057,QLl,1,2,2,2,2
scev_val_fig_0057,QLq,1,1,1,1,1
scev_val_fig_0057,VL,1,3,3,3,3
scev_val_fig_0057,VO,1,1,1,1,1
scev_val_fig_0058,AS,1,3,3,3,3
scev_val_fig_0058,AT,1,3,3,3,3
scev_val_fig_0058,CL,1,0,0,0,0
scev_val_fig_0058,GS,1,0,0,0,0
scev_val_fig_0058,KNf,1,1,1,1,1
scev_val_fig_0058,MA,1,2,2,2,2
scev_val_fig_0058,MCr,1,2,2,2,2
scev_val_fig_0058,MCu,1,1,1,1,1
scev_val_fig_0058,QLl,1,1,1,1,1
scev_val_fig_0058,QLq,1,1,1,1,1
scev_val_fig_0058,VL,1,3,3,3,3
scev_val_fig_0058,VO,1,1,1,1,1
scev_val_fig_0059,AS,1,2,2,2,2
scev_val_fig_0059,AT,1,3,3,3,3
scev_val_fig_0059,CL,1,0,0,0,0
scev_val_fig_0059,GS,1,0,0,0,0
scev_val_fig_0059,KNf,1,1,1,1,1
scev_val_fig_0059,MA,1,1,1,1,1
scev_val_fig_0059,MCr,1,2,2,2,2
scev_val_fig_0059,MCu,1,3,3,3,3
scev_val_fig_0059,QLl,1,1,1,1,1
scev_val_fig_0059,QLq,1,2,2,2,2
scev_val_fig_0059,VL,1,2,2,2,2
scev_val_fig_0059,VO,1,1,1,1,1
scev_val_fig_0060,AS,1,2,2,2,2
scev_val_fig_0060,AT,1,3,3,3,3
scev_val_fig_0060,CL,1,0,0,0,0
scev_val_fig_0060,GS,1,0,0,0,0
scev_val_fig_0060,KNf,1,1,1,1,1
scev_val_fig_0060,MA,1,3,3,3,3
scev_val_fig_0060,MCr,1,2,2,2,2
scev_val_fig_0060,MCu,1,3,3,3,3
scev_val_fig_0060,QLl,1,1,1,1,1
scev_val_fig_0060,QLq,1,2,2,2,2
scev_val_fig_0060,VL,1,2,2,2,2
scev_val_fig_0060,VO,1,1,1,1,1
scev_val_fig_0062,AS,1,2,2,2,2
scev_val_fig_0062,AT,1,4,4,4,4
scev_val_fig_0062,CL,1,1,1,1,1
scev_val_fig_0062,GS,1,2,2,2,2
scev_val_fig_0062,KNf,1,4,4,4,4
scev_val_fig_0062,MA,1,2,2,2,2
scev_val_fig_0062,MCr,1,2,2,2,2
scev_val_fig_0062,MCu,1,2,2,2,2
scev_val_fig_0062,QLl,1,1,1,1,1
scev_val_fig_0062,QLq,1,2,2,2,2
scev_val_fig_0062,VL,1,2,2,2,2
scev_val_fig_0062,VO,1,2,2,2,2
scev_val_fig_0063,AS,1,3,3,3,3
scev_val_fig_0063,AT,1,4,4,4,4
scev_val_fig_0063,CL,1,2,2,2,2
scev_val_fig_0063,GS,1,4,4,4,4
scev_val_fig_0063,KNf,1,5,5,5,5
scev_val_fig_0063,MA,1,1,1,1,1
scev_val_fig_0063,MCr,1,2,2,2,2
scev_val_fig_0063,MCu,1,4,4,4,4
scev_val_fig_0063,QLl,1,3,3,3,3
scev_val_fig_0063,QLq,1,3,3,3,3
scev_val_fig_0063,VL,1,3,3,3,3
scev_val_fig_0063,VO,1,2,2,2,2
scev_val_fig_0064,AS,1,3,3,3,3
scev_val_fig_0064,AT,1,3,3,3,3
scev_val_fig_0064,CL,1,3,3,3,3
scev_val_fig_0064,GS,1,4,4,4,4
scev_val_fig_0064,KNf,1,1,1,1,1
scev_val_fig_0064,MA,1,3,3,3,3
scev_val_fig_0064,MCr,1,3,3,3,3
scev_val_fig_0064,MCu,1,3,3,3,3
scev_val_fig_0064,QLl,1,3,3,3,3
scev_val_fig_0064,QLq,1,1,1,1,1
scev_val_fig_0064,VL,1,2,2,2,2
scev_val_fig_0064,VO,1,2,2,2,2
scev_val_fig_0065,AS,1,3,3,3,3
scev_val_fig_0065,AT,1,3,3,3,3
scev_val_fig_0065,CL,1,2,2,2,2
scev_val_fig_0065,GS,1,5,5,5,5
scev_val_fig_0065,KNf,1,4,4,4,4
scev_val_fig_0065,MA,1,3,3,3,3
scev_val_fig_0065,MCr,1,3,3,3,3
scev_val_fig_0065,MCu,1,3,3,3,3
scev_val_fig_0065,QLl,1,3,3,3,3
scev_val_fig_0065,QLq,1,3,3,3,3
scev_val_fig_0065,VL,1,2,2,2,2
scev_val_fig_0065,VO,1,2,2,2,2
scev_val_fig_0066,AS,1,2,2,2,2
scev_val_fig_0066,AT,1,3,3,3,3
scev_val_fig_0066,CL,1,0,0,0,0
scev_val_fig_0066,GS,1,0,0,0,0
scev_val_fig_0066,KNf,1,1,1,1,1
scev_val_fig_0066,MA,1,3,3,3,3
scev_val_fig_0066,MCr,1,1,1,1,1
scev_val_fig_0066,MCu,1,1,1,1,1
scev_val_fig_0066,QLl,1,1,1,1,1
scev_val_fig_0066,QLq,1,2,2,2,2
scev_val_fig_0066,VL,1,2,2,2,2
scev_val_fig_0066,VO,1,1,1,1,1
scev_val_fig_0067,AS,1,2,2,2,2
scev_val_fig_0067,AT,1,3,3,3,3
scev_val_fig_0067,CL,1,0,0,0,0
scev_val_fig_0067,GS,1,0,0,0,0
scev_val_fig_0067,KNf,1,2,2,2,2
scev_val_fig_0067,MA,1,3,3,3,3
scev_val_fig_0067,MCr,1,1,1,1,1
scev_val_fig_0067,MCu,1,1,1,1,1
scev_val_fig_0067,QLl,1,1,1,1,1
scev_val_fig_0067,QLq,1,2,2,2,2
scev_val_fig_0067,VL,1,1,1,1,1
scev_val_fig_0067,VO,1,1,1,1,1
scev_val_fig_0069,AS,1,2,2,2,2
scev_val_fig_0069,AT,1,3,3,3,3
scev_val_fig_0069,CL,1,0,0,0,0
scev_val_fig_0069,GS,1,1,1,1,1
scev_val_fig_0069,KNf,1,0,0,0,0
scev_val_fig_0069,MA,1,1,1,1,1
scev_val_fig_0069,MCr,1,1,1,1,1
scev_val_fig_0069,MCu,1,0,0,0,0
scev_val_fig_0069,QLl,1,1,1,1,1
scev_val_fig_0069,QLq,1,1,1,1,1
scev_val_fig_0069,VL,1,2,2,2,2
scev_val_fig_0069,VO,1,1,1,1,1
scev_val_fig_0070,AS,1,1,1,1,1
scev_val_fig_0070,AT,1,3,3,3,3
scev_val_fig_0070,CL,1,1,1,1,1
scev_val_fig_0070,GS,1,1,1,1,1
scev_val_fig_0070,KNf,1,4,4,4,4
scev_val_fig_0070,MA,1,2,2,2,2
scev_val_fig_0070,MCr,1,2,2,2,2
