item_id,source,localization_grounding,value_readout,referent_mismatch,multi_element_reasoning,gestalt_shape,encoding_literacy,legibility_render,claim_linguistic_load,scope_overreach,tally_depth
sciver_val_0139,sciver,4,2,0,3,1,2,1,2,0,23
sciver_val_0285,sciver,4,2,0,3,1,1,0,2,0,23
sciver_test_0382,sciver,4,2,0,3,1,1,1,2,0,23
scev_val_fig_0202,sciclaimeval,4,2,0,3,1,2,2,2,0,23
sciver_test_0258,sciver,4,2,0,2,1,1,1,2,0,23
sciver_test_0525,sciver,4,2,0,3,2,1,1,3,0,23
scev_val_fig_0014,sciclaimeval,3,2,0,2,1,0,1,2,0,23
scev_val_fig_0015,sciclaimeval,3,2,0,2,1,0,1,2,0,23
scev_val_fig_0240,sciclaimeval,4,0,0,1,1,1,2,2,0,23
sciver_test_0231,sciver,3,2,0,2,1,2,2,3,0,23
sciver_test_0076,sciver,4,2,0,3,1,0,1,2,0,23
sciver_test_0613,sciver,2,2,0,2,1,0,0,3,0,23
sciver_val_0269,sciver,2,0,0,2,1,0,2,4,0,23
sciver_val_0238,sciver,4,2,0,3,1,1,1,3,0,23
sciver_test_0961,sciver,4,2,0,3,2,2,2,2,0,23
sciver_test_0488,sciver,4,2,0,2,2,2,2,2,0,23
sciver_val_0173,sciver,3,2,0,2,1,1,2,4,0,23
sciver_test_0865,sciver,3,2,0,2,1,0,1,2,0,23
sciver_test_0322,sciver,3,2,0,3,1,2,2,3,0,23
scev_val_fig_0016,sciclaimeval,3,2,0,1,1,0,1,1,0,23
scev_val_fig_0292,sciclaimeval,4,2,0,2,2,0,2,3,0,23
sciver_test_0308,sciver,3,2,0,2,2,1,2,2,0,23
scev_val_fig_0160,sciclaimeval,4,2,0,2,2,1,2,2,0,23
sciver_val_0033,sciver,4,2,0,2,1,2,2,3,0,23
scev_val_fig_0288,sciclaimeval,8,4,2,4,2,1,6,2,0,55
sciver_test_0053,sciver,6,2,5,2,2,2,5,2,3,55
sciver_test_0632,sciver,8,2,3,4,1,0,4,2,3,55
sciver_test_0811,sciver,6,2,3,3,2,1,4,2,0,55
scev_val_fig_0183,sciclaimeval,6,2,2,3,1,0,6,3,3,55
sciver_val_0237,sciver,8,0,3,2,0,1,4,3,3,55
sciver_test_0623,sciver,5,2,3,2,1,0,5,2,0,55
scev_val_fig_0147,sciclaimeval,6,0,1,1,1,0,0,0,0,55
sciver_val_0247,sciver,7,0,3,1,1,1,5,1,3,55
scev_val_fig_0290,sciclaimeval,9,4,2,4,2,1,6,2,0,55
sciver_test_0026,sciver,7,2,0,4,2,1,4,3,3,55
scev_val_fig_1502,sciclaimeval,3,2,1,2,1,0,5,2,0,55
sciver_test_0487,sciver,6,4,2,3,2,1,5,2,3,55
scev_val_fig_0005,sciclaimeval,7,6,1,4,1,2,4,1,0,55
scev_val_fig_0006,sciclaimeval,7,6,1,4,1,2,4,1,0,55
sciver_test_0737,sciver,4,4,1,3,2,0,4,2,0,55
sciver_test_0503,sciver,4,2,4,2,1,0,4,2,0,55
scev_val_fig_0187,sciclaimeval,5,2,2,3,1,1,4,3,0,55
sciver_val_0086,sciver,6,2,0,3,1,2,5,3,3,55
sciver_test_0926,sciver,7,2,0,4,1,0,4,3,1,55
sciver_val_0219,sciver,4,2,1,3,1,0,4,2,3,55
scev_val_fig_0256,sciclaimeval,5,4,2,2,2,2,6,1,0,55
scev_val_fig_0257,sciclaimeval,5,4,2,2,2,2,6,1,0,55
sciver_test_0739,sciver,3,4,0,3,2,1,4,2,0,55
scev_val_fig_0129,sciclaimeval,5,1,0,3,1,1,4,3,3,55
sciver_test_0615,sciver,8,2,4,3,2,1,5,2,0,55
sciver_test_0352,sciver,7,2,5,4,1,0,4,3,3,55
scev_val_fig_0066,sciclaimeval,3,2,4,3,1,0,4,2,1,55
sciver_test_0605,sciver,4,4,3,2,1,1,5,2,0,55
sciver_test_0876,sciver,10,4,3,4,1,1,4,2,0,55
sciver_test_0375,sciver,9,2,6,5,3,2,7,2,3,55
scev_val_fig_1557,sciclaimeval,9,4,4,5,2,1,6,3,3,55
scev_val_fig_0277,sciclaimeval,9,2,4,4,2,1,5,3,3,55
sciver_val_0075,sciver,9,2,6,4,2,1,5,3,3,55
scev_val_fig_0094,sciclaimeval,10,2,5,5,1,1,5,4,3,55
sciver_val_0323,sciver,9,2,6,4,3,1,5,2,3,55
scev_val_fig_1521,sciclaimeval,5,2,5,3,1,1,5,2,0,55
sciver_val_0245,sciver,10,3,5,4,1,1,5,3,3,55
sciver_test_0085,sciver,8,2,6,3,1,2,5,3,3,55
sciver_val_0220,sciver,9,4,6,5,1,2,6,3,3,55
sciver_test_0459,sciver,3,4,0,3,1,0,4,4,3,55
sciver_test_0858,sciver,4,4,2,3,1,2,4,3,0,55
scev_val_fig_1556,sciclaimeval,6,2,3,2,2,0,1,3,3,55
sciver_val_0261,sciver,9,2,2,3,1,2,5,2,0,55
sciver_test_0001,sciver,7,3,1,4,1,0,5,3,3,55
sciver_test_0380,sciver,8,2,5,4,1,1,4,4,3,55
sciver_test_0585,sciver,4,2,0,3,1,0,5,2,0,55
scev_val_fig_1513,sciclaimeval,6,2,3,3,1,0,0,1,0,55
scev_val_fig_0131,sciclaimeval,8,2,1,5,2,0,5,2,0,55
sciver_test_0897,sciver,5,2,1,4,2,1,2,2,0,55
sciver_test_0938,sciver,2,3,1,2,1,0,0,2,0,55
sciver_val_0199,sciver,4,3,3,2,1,0,1,3,3,55
sciver_test_0532,sciver,4,3,3,2,1,2,4,2,0,55
sciver_test_0547,sciver,9,2,1,3,1,0,5,2,0,55
scev_val_fig_0219,sciclaimeval,8,3,2,4,1,0,4,3,1,55
sciver_test_0946,sciver,4,0,1,4,1,2,2,2,2,55
sciver_val_0491,sciver,3,2,1,2,1,2,1,2,0,55
sciver_test_0296,sciver,5,2,3,2,2,2,5,2,3,55
sciver_test_0787,sciver,4,2,3,3,1,2,4,2,2,55
scev_val_fig_0254,sciclaimeval,5,4,1,1,2,2,7,2,0,55
sciver_test_0284,sciver,9,2,4,4,1,2,6,3,3,72
sciver_test_0519,sciver,7,2,6,3,1,2,6,2,3,72
scev_val_fig_1512,sciclaimeval,9,2,5,3,3,1,7,2,0,72
sciver_test_0207,sciver,5,2,5,3,2,1,5,3,3,72
scev_val_fig_0302,sciclaimeval,9,2,5,3,3,1,7,4,1,72
sciver_val_0333,sciver,4,3,5,3,2,1,5,2,3,72
sciver_test_0733,sciver,9,4,5,4,1,3,7,2,3,72
scev_val_fig_0046,sciclaimeval,3,4,4,3,1,2,4,2,3,72
sciver_test_0972,sciver,4,3,5,3,1,2,4,2,3,72
scev_val_fig_0113,sciclaimeval,9,2,6,3,3,1,5,3,3,72
sciver_val_0121,sciver,3,2,0,1,2,1,2,2,3,72
sciver_test_0181,sciver,8,4,2,3,1,0,4,4,3,72
sciver_val_0058,sciver,8,4,6,3,3,2,7,3,3,72
sciver_val_0019,sciver,8,2,1,4,2,1,1,3,3,72
scev_val_fig_0018,sciclaimeval,8,2,2,5,1,1,5,2,2,72
scev_val_fig_0020,sciclaimeval,8,2,1,3,1,0,2,1,0,72
sciver_test_0091,sciver,4,2,3,2,2,0,1,3,3,72
scev_val_fig_0159,sciclaimeval,6,4,3,2,1,0,3,2,4,72
sciver_test_0136,sciver,5,2,4,2,2,2,5,2,3,72
scev_val_fig_1516,sciclaimeval,3,2,7,1,1,2,1,0,3,72
sciver_test_0860,sciver,3,2,0,3,1,1,1,3,0,23
sciver_val_0270,sciver,4,2,0,3,1,1,1,2,0,23
scev_val_fig_0270,sciclaimeval,4,2,0,3,1,1,1,2,0,23
sciver_test_0083,sciver,4,2,0,3,2,1,1,2,0,23
scev_val_fig_0180,sciclaimeval,4,2,0,3,1,1,2,2,0,23
scev_val_fig_0218,sciclaimeval,4,2,0,2,1,1,1,2,0,23
scev_val_fig_0286,sciclaimeval,3,2,0,3,2,1,1,2,0,23
scev_val_fig_0287,sciclaimeval,3,2,0,3,2,1,1,2,0,23
scev_val_fig_0032,sciclaimeval,3,2,0,3,1,2,1,2,0,23
sciver_val_0209,sciver,4,2,0,3,1,2,2,3,0,23
sciver_test_0821,sciver,3,2,0,3,2,0,0,2,0,23
sciver_val_0290,sciver,3,2,0,2,1,1,2,2,0,23
sciver_test_0184,sciver,3,2,0,2,2,1,1,1,0,23
sciver_val_0397,sciver,4,2,0,3,1,1,1,2,0,23
scev_val_fig_0276,sciclaimeval,2,1,0,1,2,1,1,3,0,23
sciver_test_0020,sciver,4,1,0,3,1,1,1,1,0,23
sciver_test_0909,sciver,3,2,0,2,1,2,2,2,0,23
sciver_val_0188,sciver,4,2,0,3,2,2,1,3,0,23
sciver_test_0800,sciver,4,2,0,3,2,0,1,2,0,23
sciver_test_0846,sciver,4,2,0,2,1,0,2,2,0,23
sciver_test_0233,sciver,4,4,6,2,1,0,4,2,3,72
sciver_test_0500,sciver,9,2,3,3,1,0,5,2,0,72
sciver_val_0304,sciver,5,2,6,2,1,0,5,2,0,72
scev_val_fig_0250,sciclaimeval,9,2,3,4,2,1,7,4,0,72
scev_val_fig_0251,sciclaimeval,9,2,3,4,2,1,7,4,0,72
sciver_test_0081,sciver,5,2,4,3,1,1,7,3,3,72
sciver_val_0178,sciver,4,2,4,2,1,1,4,2,3,72
sciver_test_0546,sciver,4,4,4,4,1,2,4,3,0,72
sciver_val_0151,sciver,9,2,3,3,4,0,6,2,3,72
sciver_test_0360,sciver,8,4,3,2,1,1,4,2,3,72
scev_val_fig_0259,sciclaimeval,5,5,2,1,1,2,6,4,0,72
sciver_val_0349,sciver,4,3,3,2,1,0,1,2,0,72
sciver_test_0612,sciver,7,6,1,5,1,1,4,4,0,72
scev_val_fig_0283,sciclaimeval,3,2,3,1,1,1,1,3,3,72
scev_val_fig_0043,sciclaimeval,4,2,1,2,1,2,0,2,3,72
sciver_val_0114,sciver,2,1,3,2,1,2,1,2,3,72
sciver_val_0282,sciver,9,2,0,3,2,0,4,2,0,72
sciver_val_0073,sciver,8,4,0,4,2,1,4,2,3,72
scev_val_fig_0056,sciclaimeval,7,2,1,3,2,0,2,3,2,72
scev_val_fig_0188,sciclaimeval,4,2,1,4,1,1,3,4,0,72
sciver_val_0287,sciver,2,2,0,2,3,0,3,2,3,88
sciver_test_0237,sciver,9,4,6,4,2,2,5,4,3,88
sciver_test_0347,sciver,8,3,6,4,2,1,4,3,4,88
sciver_test_0192,sciver,4,3,9,2,1,2,1,2,3,88
sciver_val_0147,sciver,7,2,6,3,2,2,5,4,4,88
scev_val_fig_0035,sciclaimeval,9,2,4,3,3,0,4,1,2,88
sciver_test_0130,sciver,9,5,4,4,1,2,4,4,3,88
scev_val_fig_1533,sciclaimeval,6,5,3,1,1,2,6,3,0,88
sciver_val_0485,sciver,4,4,2,3,1,2,6,3,0,88
sciver_val_0384,sciver,2,2,3,4,2,0,0,3,0,88
sciver_test_0372,sciver,0,4,0,2,1,0,0,3,3,88
sciver_test_0506,sciver,8,2,2,4,1,0,5,2,0,88
scev_val_fig_1506,sciclaimeval,6,2,3,1,1,0,4,2,0,88
scev_val_fig_0070,sciclaimeval,5,1,6,1,2,0,0,2,0,88
scev_val_fig_0138,sciclaimeval,4,2,3,1,3,1,2,2,0,88
scev_val_fig_0048,sciclaimeval,5,2,3,2,1,3,6,3,0,88
sciver_test_0824,sciver,8,2,4,3,1,1,3,3,0,88
scev_val_fig_0063,sciclaimeval,11,3,4,2,3,2,6,3,3,88
sciver_test_0333,sciver,3,1,6,2,4,2,4,3,4,88
sciver_test_0907,sciver,9,2,8,3,3,1,5,3,0,88
scev_val_fig_1509,sciclaimeval,6,2,5,4,1,1,0,2,0,88
scev_val_fig_0210,sciclaimeval,8,6,1,2,2,1,4,3,1,88
scev_val_fig_0060,sciclaimeval,4,2,2,2,1,0,4,2,0,88
sciver_val_0128,sciver,2,1,0,4,1,0,0,3,3,88
sciver_test_0025,sciver,8,3,0,5,2,0,7,3,3,88
sciver_val_0259,sciver,6,2,2,2,2,0,4,2,0,88
scev_val_fig_0047,sciclaimeval,5,2,1,2,1,3,5,3,0,88
sciver_test_0154,sciver,7,2,0,3,3,0,1,2,3,88
sciver_test_0188,sciver,6,2,2,2,2,0,5,2,3,88
sciver_val_0204,sciver,4,5,2,5,1,2,2,2,3,88
sciver_val_0090,sciver,10,4,8,3,1,2,6,3,4,88
sciver_val_0168,sciver,11,7,5,4,3,2,6,4,3,88
sciver_val_0262,sciver,6,7,5,4,1,2,6,3,3,88
sciver_test_0202,sciver,10,2,7,5,2,3,7,4,4,88
sciver_val_0432,sciver,5,2,5,2,3,1,5,3,1,88
sciver_test_0260,sciver,6,2,4,2,2,1,4,3,3,88
sciver_test_0262,sciver,9,2,7,4,3,2,5,3,3,88
sciver_val_0434,sciver,4,4,5,2,1,2,4,2,0,88
sciver_val_0251,sciver,12,2,8,4,6,3,6,3,4,88
sciver_val_0037,sciver,6,1,7,3,2,2,4,3,4,88
sciver_test_0529,sciver,6,4,3,2,1,3,5,2,0,88
sciver_test_0343,sciver,5,2,3,2,1,0,4,2,3,88
sciver_test_0702,sciver,1,2,0,2,3,0,4,2,0,88
sciver_val_0395,sciver,7,2,3,4,2,1,5,2,0,88
sciver_test_0476,sciver,5,2,6,2,5,1,2,2,3,88
scev_val_fig_0182,sciclaimeval,7,2,3,4,2,1,6,2,1,88
sciver_test_0759,sciver,10,5,4,3,1,3,7,3,0,88
scev_val_fig_0062,sciclaimeval,10,4,3,4,1,2,7,2,2,88
scev_val_fig_0029,sciclaimeval,12,2,3,3,4,2,7,2,0,88
sciver_test_0609,sciver,10,3,3,3,3,1,7,2,3,88
sciver_test_0576,sciver,4,2,3,2,3,0,5,2,0,88
sciver_test_0226,sciver,5,2,7,2,1,1,4,3,4,88
scev_val_fig_0206,sciclaimeval,6,2,8,3,1,1,0,2,1,88
sciver_test_0804,sciver,10,2,4,3,2,0,5,2,0,88
sciver_test_0706,sciver,5,2,3,2,2,1,7,2,0,88
sciver_val_0425,sciver,6,3,4,4,1,0,5,2,0,88
sciver_val_0470,sciver,4,2,3,2,2,0,2,2,0,88
sciver_test_0079,sciver,6,5,4,6,1,2,7,4,4,88
sciver_test_0747,sciver,4,2,3,2,3,0,5,2,0,88
sciver_val_0266,sciver,5,2,3,2,3,0,5,4,0,88
sciver_test_0916,sciver,8,3,2,4,1,1,6,2,1,100
sciver_val_0475,sciver,10,3,6,4,3,2,6,2,2,100
sciver_val_0369,sciver,4,5,2,2,1,0,4,2,0,100
sciver_test_0111,sciver,9,2,3,3,1,1,4,3,4,100
sciver_val_0112,sciver,8,4,3,4,3,1,4,2,4,100
scev_val_fig_0274,sciclaimeval,8,4,1,1,0,2,3,3,0,100
sciver_test_0121,sciver,5,4,2,2,4,0,4,2,4,100
sciver_test_0835,sciver,11,2,3,2,3,1,5,2,3,100
sciver_val_0001,sciver,8,2,5,3,2,0,6,3,4,100
sciver_test_0828,sciver,5,3,0,2,1,0,4,2,1,100
sciver_val_0376,sciver,6,2,5,5,1,1,3,2,1,100
sciver_val_0390,sciver,9,3,2,4,1,1,3,3,1,100
scev_val_fig_0071,sciclaimeval,3,2,4,2,5,0,1,1,0,100
sciver_val_0044,sciver,5,4,2,3,2,0,4,3,4,100
sciver_val_0215,sciver,3,5,1,3,1,2,1,3,3,100
sciver_val_0352,sciver,4,4,1,3,3,3,5,1,3,100
scev_val_fig_0249,sciclaimeval,10,4,1,4,4,1,5,3,0,100
scev_val_fig_0033,sciclaimeval,4,2,4,1,2,1,1,2,1,100
scev_val_fig_1555,sciclaimeval,4,2,4,1,2,1,1,2,1,100
scev_val_fig_0065,sciclaimeval,10,3,1,3,4,2,5,3,0,100
scev_val_fig_1504,sciclaimeval,7,2,5,4,1,1,0,2,0,100
sciver_test_0593,sciver,10,3,2,3,2,0,4,2,1,100
sciver_val_0241,sciver,1,2,3,1,1,0,0,2,3,100
scev_val_fig_0144,sciclaimeval,3,0,5,2,1,1,3,2,3,100
sciver_val_0437,sciver,7,5,3,4,1,1,4,2,0,100
sciver_val_0042,sciver,4,3,7,2,4,0,0,2,3,100
scev_val_fig_1510,sciclaimeval,9,2,7,4,1,3,4,2,1,100
scev_val_fig_1511,sciclaimeval,6,3,1,3,2,0,6,3,0,100
sciver_test_0429,sciver,4,4,4,2,4,2,4,3,4,100
sciver_test_0956,sciver,4,2,0,4,1,1,4,2,4,100
sciver_test_0328,sciver,4,2,6,3,4,1,6,2,4,100
sciver_test_0692,sciver,4,2,3,3,2,1,5,2,1,100
scev_val_fig_0042,sciclaimeval,4,2,1,2,1,2,1,2,3,100
sciver_val_0418,sciver,8,4,1,3,2,2,4,3,1,100
scev_val_fig_0058,sciclaimeval,7,3,1,4,1,1,4,3,0,100
scev_val_fig_0279,sciclaimeval,6,1,6,1,0,1,6,4,4,100
scev_val_fig_0175,sciclaimeval,2,2,0,3,1,1,1,2,0,100
sciver_test_0721,sciver,8,4,0,3,2,2,4,2,1,100
scev_val_fig_0239,sciclaimeval,9,3,0,1,3,1,4,1,3,100
scev_val_fig_0246,sciclaimeval,8,4,1,2,3,1,4,4,3,100
scev_val_fig_0284,sciclaimeval,4,2,0,3,2,2,2,3,0,23
scev_val_fig_1544,sciclaimeval,4,2,0,3,2,2,2,3,0,23
sciver_val_0416,sciver,3,2,0,2,1,2,2,2,0,23
sciver_test_0005,sciver,3,2,0,2,1,0,2,2,0,23
sciver_test_0421,sciver,3,2,0,2,1,1,2,2,0,23
sciver_val_0423,sciver,3,2,0,2,1,0,2,2,0,23
scev_val_fig_1500,sciclaimeval,4,2,0,3,1,2,2,2,0,23
sciver_val_0092,sciver,3,2,0,2,1,1,2,3,0,23
sciver_test_0124,sciver,3,2,0,2,2,2,2,2,0,23
sciver_val_0255,sciver,3,2,0,2,2,1,2,2,0,23
sciver_test_0752,sciver,12,3,9,3,4,2,7,2,1,100
sciver_test_0395,sciver,12,8,10,6,2,3,7,3,5,100
scev_val_fig_0205,sciclaimeval,10,2,11,4,1,1,0,2,1,100
scev_val_fig_1519,sciclaimeval,6,2,4,4,1,0,1,3,5,100
sciver_val_0401,sciver,12,3,6,3,3,2,6,2,1,100
scev_val_fig_0169,sciclaimeval,11,5,4,4,2,2,4,4,0,100
scev_val_fig_1529,sciclaimeval,11,5,4,4,2,2,4,4,0,100
sciver_test_0988,sciver,12,3,9,4,2,1,7,3,5,100
sciver_val_0336,sciver,6,3,5,2,3,1,4,2,1,100
sciver_test_0127,sciver,9,3,5,3,3,1,5,2,4,100
